"Second","initial_unique_user","viewersAfterDrop","newViewersAppearing","total_active_viewer","total_views","[MB] cdnBWConsumption","[$] cdnBWConsumptionCost","[MB] totalCDNBWConsumption|so_far","[$] totalCDNBWConsumptionCost|so_far"
"1","0","0","0","1000","1000","219.375","0.002851875","219.375","0.002851875"
"2","1000","996","4","1000","1004","219.375","0.002851875","438.75","0.00570375"
"3","1000","994","3","997","1007","218.716875","0.0028433193749999998","657.466875","0.008547069374999999"
"4","997","991","1","992","1008","217.61999999999998","0.0028290599999999996","875.086875","0.011376129374999999"
"5","992","991","4","995","1012","218.278125","0.0028376156249999996","1093.365","0.014213744999999998"
"6","995","987","8","995","1020","218.278125","0.0028376156249999996","1311.643125","0.017051360624999998"
"7","995","994","6","1000","1026","219.375","0.002851875","1531.018125","0.019903235624999998"
"8","1000","998","8","1006","1034","220.69125","0.00286898625","1751.7093750000001","0.022772221875"
"9","1006","1003","9","1012","1043","222.0075","0.0028860974999999995","1973.716875","0.025658319375"
"10","1012","1011","8","1019","1051","223.54312500000003","0.0029060606250000003","2197.26","0.02856438"
"11","1019","1018","8","1026","1059","225.07875","0.00292602375","2422.3387500000003","0.03149040375"
"12","1026","1018","1","1019","1060","223.54312500000003","0.0029060606250000003","2645.8818750000005","0.034396464375"
"13","1019","1017","6","1023","1066","224.420625","0.002917468125","2870.3025000000007","0.0373139325"
"14","1023","1016","6","1022","1072","224.20125","0.0029146162499999995","3094.5037500000008","0.04022854875"
"15","1022","1020","7","1027","1079","225.29812499999994","0.002928875624999999","3319.8018750000006","0.043157424375"
"16","1027","1024","1","1025","1080","224.859375","0.002923171875","3544.6612500000006","0.04608059625"
"17","1025","1021","8","1029","1088","225.736875","0.002934579375","3770.3981250000006","0.049015175625000004"
"18","1029","1027","6","1033","1094","226.614375","0.002945986875","3997.0125000000007","0.051961162500000005"
"19","1033","1029","9","1038","1103","227.71124999999998","0.0029602462499999996","4224.723750000001","0.054921408750000004"
"20","1038","1033","2","1035","1105","227.053125","0.0029516906249999995","4451.776875000001","0.057873099375"
